Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
27,1,9.9,3,1,1,311
172,1,117.80000000000001,1,1,2,112
43,1,110.32,3,1,2,312
122,1,16.9,2,1,1,211
31,1,129.99,3,1,3,313
9,1,24.9,3,1,1,311
7,1,29.99,3,1,1,311
231,1,150.0,1,1,3,113
98,1,69.9,2,1,2,212
173,1,19.9,1,1,1,111
225,1,247.23,1,1,3,113
102,1,43.49,2,1,1,211
87,1,89.99,2,1,2,212
25,1,171.78,3,1,3,313
126,1,35.9,2,1,1,211
38,1,179.99,3,1,3,313
138,1,60.9,2,1,2,212
234,1,199.9,1,1,3,113
98,1,91.3,2,1,2,212
101,1,27.9,2,1,1,211
143,1,259.0,2,1,3,213
6,1,116.9,3,1,2,312
210,1,16.9,1,1,1,111
162,1,29.4,2,1,1,211
236,1,40.0,1,1,1,111
46,1,50.4,3,1,1,311
136,1,24.9,2,1,1,211
154,1,92.1,2,1,2,212
163,1,118.0,2,1,2,212
180,1,97.0,1,1,2,112
132,2,182.9,2,3,3,233
219,1,12.25,1,1,1,111
69,1,49.98,3,1,1,311
190,1,317.9,1,1,3,113
240,1,139.0,1,1,3,113
107,1,74.99,2,1,2,212
46,1,65.0,3,1,2,312
195,1,65.0,1,1,2,112
148,1,14.9,2,1,1,211
195,1,113.94,1,1,2,112
229,1,29.5,1,1,1,111
107,1,330.0,2,1,3,213
116,1,69.9,2,1,2,212
196,1,72.9,1,1,2,112
147,1,79.99,2,1,2,212
158,1,358.98,2,1,3,213
183,1,34.9,1,1,1,111
166,1,1390.0,1,1,3,113
72,2,1429.8000000000002,3,3,3,333
9,1,29.98,3,1,1,311
37,1,318.0,3,1,3,313
145,1,49.0,2,1,1,211
139,1,63.9,2,1,2,212
184,1,33.0,1,1,1,111
40,1,228.0,3,1,3,313
129,1,134.0,2,1,3,213
71,1,46.4,3,1,1,311
32,1,319.79999999999995,3,1,3,313
194,1,49.9,1,1,1,111
104,1,113.9,2,1,2,212
121,1,149.9,2,1,3,213
52,1,22.49,3,1,1,311
154,1,987.0,2,1,3,213
204,1,9.9,1,1,1,111
139,1,117.3,2,1,2,212
40,2,226.34,3,3,3,333
91,1,157.0,2,1,3,213
199,1,155.0,1,1,3,113
187,1,699.0,1,1,3,113
43,1,17.0,3,1,1,311
89,1,19.9,2,1,1,211
50,1,79.9,3,1,2,312
172,1,12.9,1,1,1,111
21,1,58.99,3,1,2,312
2,1,15.9,3,1,1,311
207,1,11.89,1,1,1,111
147,1,219.9,2,1,3,213
64,1,37.9,3,1,1,311
164,1,39.0,1,1,1,111
173,1,69.9,1,1,2,112
19,1,69.0,3,1,2,312
166,1,74.69999999999999,1,1,2,112
18,1,35.0,3,1,1,311
211,1,79.0,1,1,2,112
151,1,78.0,2,1,2,212
26,1,69.99,3,1,2,312
232,1,289.0,1,1,3,113
53,1,31.99,3,1,1,311
185,1,69.9,1,1,2,112
43,1,229.98,3,1,3,313
184,1,82.8,1,1,2,112
220,1,189.9,1,1,3,113
201,1,49.0,1,1,1,111
173,1,38.7,1,1,1,111
212,1,49.9,1,1,1,111
90,1,99.9,2,1,2,212
74,1,185.0,3,1,3,313
16,1,55.0,3,1,1,311
40,1,269.70000000000005,3,1,3,313
50,1,199.9,3,1,3,313
70,1,209.99,3,1,3,313
83,1,49.9,3,1,1,311
188,1,57.99,1,1,2,112
196,1,779.8,1,1,3,113
210,1,87.8,1,1,2,112
236,1,129.0,1,1,3,113
170,1,49.9,1,1,1,111
180,1,217.0,1,1,3,113
32,1,118.98,3,1,2,312
196,1,23.8,1,1,1,111
47,1,69.5,3,1,2,312
120,1,399.0,2,1,3,213
214,1,159.99,1,1,3,113
236,1,86.9,1,1,2,112
134,1,51.0,2,1,1,211
104,1,69.99,2,1,2,212
125,1,68.8,2,1,2,212
71,1,57.89,3,1,2,312
182,1,35.0,1,1,1,111
92,1,30.0,2,1,1,211
57,1,60.0,3,1,2,312
147,1,55.8,2,1,1,211
227,1,139.99,1,1,3,113
171,1,69.9,1,1,2,112
28,1,1799.0,3,1,3,313
132,1,22.0,2,1,1,211
140,1,44.9,2,1,1,211
105,1,50.0,2,1,1,211
187,1,64.9,1,1,2,112
110,1,9.9,2,1,1,211
172,1,16.0,1,1,1,111
226,1,80.0,1,1,2,112
209,1,87.9,1,1,2,112
188,1,33.99,1,1,1,111
11,1,29.99,3,1,1,311
63,1,89.9,3,1,2,312
161,1,259.9,2,1,3,213
70,1,99.9,3,1,2,312
42,1,45.8,3,1,1,311
107,1,118.0,2,1,2,212
131,1,159.9,2,1,3,213
111,1,49.8,2,1,1,211
43,1,22.0,3,1,1,311
232,1,179.0,1,1,3,113
41,1,94.99,3,1,2,312
106,1,82.76,2,1,2,212
29,1,839.4000000000001,3,1,3,313
7,1,30.0,3,1,1,311
49,1,311.9,3,1,3,313
67,1,479.0,3,1,3,313
218,2,142.0,1,3,3,133
164,1,129.0,1,1,3,113
81,1,64.0,3,1,2,312
90,1,399.0,2,1,3,213
7,1,40.0,3,1,1,311
162,1,49.0,2,1,1,211
153,1,78.0,2,1,2,212
145,1,53.04,2,1,1,211
62,1,60.9,3,1,2,312
65,1,79.9,3,1,2,312
238,1,24.99,1,1,1,111
197,1,30.99,1,1,1,111
233,1,98.9,1,1,2,112
215,1,219.0,1,1,3,113
1,1,274.9,3,1,3,313
23,1,59.0,3,1,2,312
232,1,129.0,1,1,3,113
104,1,79.8,2,1,2,212
188,1,92.66,1,1,2,112
148,1,239.96999999999997,2,1,3,213
77,1,12.0,3,1,1,311
13,1,199.99,3,1,3,313
79,1,119.0,3,1,2,312
176,1,129.0,1,1,3,113
24,1,59.8,3,1,2,312
110,1,105.0,2,1,2,212
204,1,89.9,1,1,2,112
134,1,19.99,2,1,1,211
20,1,74.99,3,1,2,312
68,1,14.9,3,1,1,311
47,1,99.99,3,1,2,312
189,1,110.9,1,1,2,112
109,1,24.9,2,1,1,211
114,1,145.0,2,1,3,213
160,1,674.9,2,1,3,213
127,1,69.9,2,1,2,212
161,1,45.99,2,1,1,211
